StoreID,ItemID,StockQty,Threshold
S1,Milk,0,5
S1,Bread,12,5
S1,Eggs,0,5
S1,Rice,20,5
S1,Atta,10,5
S1,Sugar,2,5
S1,Salt,13,5
S1,Butter,14,5
S1,Cheese,14,5
S1,Juice,14,5
S2,Milk,1,5
S2,Bread,4,5
S2,Eggs,10,5
S2,Rice,10,5
S2,Atta,5,5
S2,Sugar,2,5
S2,Salt,0,5
S2,Butter,0,5
S2,Cheese,4,5
S2,Juice,16,5
S3,Milk,2,5
S3,Bread,12,5
S3,Eggs,7,5
S3,Rice,5,5
S3,Atta,0,5
S3,Sugar,4,5
S3,Salt,4,5
S3,Butter,1,5
S3,Cheese,10,5
S3,Juice,9,5
S4,Milk,5,5
S4,Bread,2,5
S4,Eggs,5,5
S4,Rice,0,5
S4,Atta,17,5
S4,Sugar,5,5
S4,Salt,4,5
S4,Butter,7,5
S4,Cheese,15,5
S4,Juice,12,5
S5,Milk,16,5
S5,Bread,1,5
S5,Eggs,20,5
S5,Rice,9,5
S5,Atta,4,5
S5,Sugar,18,5
S5,Salt,15,5
S5,Butter,5,5
S5,Cheese,8,5
S5,Juice,13,5
S6,Milk,10,5
S6,Bread,6,5
S6,Eggs,20,5
S6,Rice,17,5
S6,Atta,7,5
S6,Sugar,14,5
S6,Salt,14,5
S6,Butter,7,5
S6,Cheese,12,5
S6,Juice,3,5
S7,Milk,13,5
S7,Bread,16,5
S7,Eggs,18,5
S7,Rice,12,5
S7,Atta,11,5
S7,Sugar,2,5
S7,Salt,4,5
S7,Butter,6,5
S7,Cheese,13,5
S7,Juice,16,5
S8,Milk,4,5
S8,Bread,14,5
S8,Eggs,5,5
S8,Rice,16,5
S8,Atta,3,5
S8,Sugar,14,5
S8,Salt,3,5
S8,Butter,18,5
S8,Cheese,0,5
S8,Juice,10,5
S9,Milk,4,5
S9,Bread,0,5
S9,Eggs,20,5
S9,Rice,8,5
S9,Atta,5,5
S9,Sugar,3,5
S9,Salt,7,5
S9,Butter,19,5
S9,Cheese,1,5
S9,Juice,11,5
S10,Milk,10,5
S10,Bread,18,5
S10,Eggs,8,5
S10,Rice,11,5
S10,Atta,11,5
S10,Sugar,12,5
S10,Salt,18,5
S10,Butter,18,5
S10,Cheese,0,5
S10,Juice,16,5
S11,Milk,20,5
S11,Bread,19,5
S11,Eggs,6,5
S11,Rice,9,5
S11,Atta,6,5
S11,Sugar,13,5
S11,Salt,15,5
S11,Butter,0,5
S11,Cheese,8,5
S11,Juice,1,5
S12,Milk,17,5
S12,Bread,4,5
S12,Eggs,12,5
S12,Rice,2,5
S12,Atta,8,5
S12,Sugar,12,5
S12,Salt,1,5
S12,Butter,1,5
S12,Cheese,5,5
S12,Juice,4,5
S13,Milk,15,5
S13,Bread,17,5
S13,Eggs,19,5
S13,Rice,4,5
S13,Atta,0,5
S13,Sugar,3,5
S13,Salt,3,5
S13,Butter,13,5
S13,Cheese,19,5
S13,Juice,0,5
S14,Milk,18,5
S14,Bread,11,5
S14,Eggs,20,5
S14,Rice,9,5
S14,Atta,17,5
S14,Sugar,7,5
S14,Salt,2,5
S14,Butter,3,5
S14,Cheese,8,5
S14,Juice,6,5
S15,Milk,3,5
S15,Bread,17,5
S15,Eggs,8,5
S15,Rice,10,5
S15,Atta,1,5
S15,Sugar,4,5
S15,Salt,11,5
S15,Butter,12,5
S15,Cheese,9,5
S15,Juice,2,5
S16,Milk,15,5
S16,Bread,15,5
S16,Eggs,7,5
S16,Rice,11,5
S16,Atta,5,5
S16,Sugar,9,5
S16,Salt,14,5
S16,Butter,11,5
S16,Cheese,17,5
S16,Juice,15,5
S17,Milk,4,5
S17,Bread,5,5
S17,Eggs,8,5
S17,Rice,13,5
S17,Atta,10,5
S17,Sugar,1,5
S17,Salt,20,5
S17,Butter,17,5
S17,Cheese,7,5
S17,Juice,1,5
S18,Milk,17,5
S18,Bread,11,5
S18,Eggs,17,5
S18,Rice,6,5
S18,Atta,19,5
S18,Sugar,1,5
S18,Salt,7,5
S18,Butter,0,5
S18,Cheese,13,5
S18,Juice,17,5
S19,Milk,17,5
S19,Bread,19,5
S19,Eggs,11,5
S19,Rice,17,5
S19,Atta,20,5
S19,Sugar,19,5
S19,Salt,20,5
S19,Butter,18,5
S19,Cheese,19,5
S19,Juice,12,5
S20,Milk,15,5
S20,Bread,8,5
S20,Eggs,11,5
S20,Rice,10,5
S20,Atta,17,5
S20,Sugar,5,5
S20,Salt,7,5
S20,Butter,2,5
S20,Cheese,14,5
S20,Juice,17,5
