OrderID,RiderID,StoreID,ItemID,DispatchLocation,DeliveryLocation,OrderTime,ExpectedDeliveryTime,ActualDeliveryTime
O1,R35,S18,Juice,"Janakpuri, Delhi",Najafgarh,2025-09-09 18:45:24,2025-09-09 19:09:24,2025-09-09 19:31:24
O2,R73,S3,Cheese,"Janakpuri, Delhi",Janakpuri West,2025-09-08 07:45:24,2025-09-08 08:24:24,2025-09-08 08:26:24
O3,R49,S18,Eggs,"Janakpuri, Delhi",Dwarka,2025-09-10 09:45:24,2025-09-10 10:16:24,2025-09-10 10:16:24
O4,R29,S8,Rice,"Janakpuri, Delhi",Patel Nagar,2025-09-05 15:45:24,2025-09-05 16:05:24,2025-09-05 16:34:24
O5,R77,S15,Juice,"Janakpuri, Delhi",Tilak Nagar,2025-09-06 10:45:24,2025-09-06 11:24:24,2025-09-06 11:26:24
O6,R88,S13,Atta,"Janakpuri, Delhi",Subhash Nagar,2025-09-04 02:45:24,2025-09-04 03:18:24,2025-09-04 03:22:24
O7,R51,S12,Salt,"Janakpuri, Delhi",Janakpuri East,2025-09-01 03:45:24,2025-09-01 04:12:24,2025-09-01 04:23:24
O8,R94,S13,Milk,"Janakpuri, Delhi",Tilak Nagar,2025-09-02 16:45:24,2025-09-02 17:22:24,2025-09-02 17:24:24
O9,R100,S9,Salt,"Janakpuri, Delhi",Janakpuri West,2025-09-01 00:45:24,2025-09-01 01:22:24,2025-09-01 01:46:24
O10,R56,S3,Bread,"Janakpuri, Delhi",Paschim Vihar,2025-09-04 08:45:24,2025-09-04 09:33:24,2025-09-04 09:29:24
O11,R1,S7,Cheese,"Janakpuri, Delhi",Patel Nagar,2025-09-03 06:45:24,2025-09-03 07:12:24,2025-09-03 07:27:24
O12,R79,S14,Eggs,"Janakpuri, Delhi",Janakpuri West,2025-09-02 17:45:24,2025-09-02 18:16:24,2025-09-02 18:26:24
O13,R37,S9,Milk,"Janakpuri, Delhi",Uttam Nagar,2025-09-07 13:45:24,2025-09-07 14:21:24,2025-09-07 14:18:24
O14,R5,S17,Salt,"Janakpuri, Delhi",Patel Nagar,2025-09-07 21:45:24,2025-09-07 22:21:24,2025-09-07 22:41:24
O15,R14,S2,Juice,"Janakpuri, Delhi",Janakpuri East,2025-09-03 06:45:24,2025-09-03 07:16:24,2025-09-03 07:42:24
O16,R48,S6,Juice,"Janakpuri, Delhi",Punjabi Bagh,2025-09-07 22:45:24,2025-09-07 23:30:24,2025-09-07 23:50:24
O17,R61,S19,Cheese,"Janakpuri, Delhi",Subhash Nagar,2025-09-10 06:45:24,2025-09-10 07:06:24,2025-09-10 07:06:24
O18,R44,S11,Atta,"Janakpuri, Delhi",Subhash Nagar,2025-09-01 19:45:24,2025-09-01 20:12:24,2025-09-01 20:29:24
O19,R48,S15,Cheese,"Janakpuri, Delhi",Uttam Nagar,2025-09-10 01:45:24,2025-09-10 02:19:24,2025-09-10 02:41:24
O20,R56,S12,Cheese,"Janakpuri, Delhi",Uttam Nagar,2025-09-05 08:45:24,2025-09-05 09:27:24,2025-09-05 09:25:24
O21,R61,S3,Bread,"Janakpuri, Delhi",Karol Bagh,2025-08-30 16:45:24,2025-08-30 17:31:24,2025-08-30 17:29:24
O22,R69,S12,Juice,"Janakpuri, Delhi",Kirti Nagar,2025-09-07 12:45:24,2025-09-07 13:17:24,2025-09-07 13:42:24
O23,R57,S20,Cheese,"Janakpuri, Delhi",Dwarka,2025-09-10 06:45:24,2025-09-10 07:30:24,2025-09-10 07:52:24
O24,R3,S11,Juice,"Janakpuri, Delhi",Rajouri Garden,2025-08-31 00:45:24,2025-08-31 01:28:24,2025-08-31 01:39:24
O25,R50,S16,Milk,"Janakpuri, Delhi",Subhash Nagar,2025-09-01 11:45:24,2025-09-01 12:07:24,2025-09-01 12:05:24
O26,R39,S4,Atta,"Janakpuri, Delhi",Punjabi Bagh,2025-09-06 13:45:24,2025-09-06 14:13:24,2025-09-06 14:37:24
O27,R73,S1,Eggs,"Janakpuri, Delhi",Uttam Nagar,2025-09-10 08:45:24,2025-09-10 09:31:24,2025-09-10 09:35:24
O28,R25,S20,Sugar,"Janakpuri, Delhi",Hari Nagar,2025-09-01 07:45:24,2025-09-01 08:33:24,2025-09-01 08:37:24
O29,R73,S9,Juice,"Janakpuri, Delhi",Najafgarh,2025-09-10 01:45:24,2025-09-10 02:09:24,2025-09-10 02:33:24
O30,R92,S17,Salt,"Janakpuri, Delhi",Patel Nagar,2025-09-05 11:45:24,2025-09-05 12:24:24,2025-09-05 12:22:24
O31,R45,S4,Juice,"Janakpuri, Delhi",Najafgarh,2025-09-02 00:45:24,2025-09-02 01:05:24,2025-09-02 01:30:24
O32,R27,S20,Butter,"Janakpuri, Delhi",Kirti Nagar,2025-09-08 03:45:24,2025-09-08 04:13:24,2025-09-08 04:33:24
O33,R93,S15,Bread,"Janakpuri, Delhi",Rajouri Garden,2025-09-08 06:45:24,2025-09-08 07:08:24,2025-09-08 07:06:24
O34,R34,S10,Cheese,"Janakpuri, Delhi",Rajouri Garden,2025-08-31 01:45:24,2025-08-31 02:30:24,2025-08-31 02:42:24
O35,R33,S8,Atta,"Janakpuri, Delhi",Karol Bagh,2025-09-06 18:45:24,2025-09-06 19:09:24,2025-09-06 19:14:24
O36,R48,S3,Butter,"Janakpuri, Delhi",Moti Nagar,2025-09-07 21:45:24,2025-09-07 22:28:24,2025-09-07 22:55:24
O37,R34,S18,Atta,"Janakpuri, Delhi",Punjabi Bagh,2025-09-05 20:45:24,2025-09-05 21:35:24,2025-09-05 21:35:24
O38,R45,S10,Milk,"Janakpuri, Delhi",Janakpuri West,2025-09-01 00:45:24,2025-09-01 01:06:24,2025-09-01 01:02:24
O39,R70,S5,Juice,"Janakpuri, Delhi",Vikaspuri,2025-08-30 12:45:24,2025-08-30 13:12:24,2025-08-30 13:08:24
O40,R54,S18,Salt,"Janakpuri, Delhi",Janakpuri West,2025-08-31 03:45:24,2025-08-31 04:13:24,2025-08-31 04:08:24
O41,R72,S6,Sugar,"Janakpuri, Delhi",Vikaspuri,2025-08-30 18:45:24,2025-08-30 19:33:24,2025-08-30 19:49:24
O42,R8,S14,Rice,"Janakpuri, Delhi",Hari Nagar,2025-09-08 13:45:24,2025-09-08 14:10:24,2025-09-08 14:13:24
O43,R26,S3,Butter,"Janakpuri, Delhi",Hari Nagar,2025-09-04 15:45:24,2025-09-04 16:31:24,2025-09-04 16:57:24
O44,R9,S16,Cheese,"Janakpuri, Delhi",Hari Nagar,2025-09-02 10:45:24,2025-09-02 11:33:24,2025-09-02 11:28:24
O45,R49,S4,Butter,"Janakpuri, Delhi",Subhash Nagar,2025-09-06 06:45:24,2025-09-06 07:12:24,2025-09-06 07:33:24
O46,R21,S11,Atta,"Janakpuri, Delhi",Rajouri Garden,2025-09-04 00:45:24,2025-09-04 01:31:24,2025-09-04 01:27:24
O47,R93,S5,Eggs,"Janakpuri, Delhi",Uttam Nagar,2025-09-03 14:45:24,2025-09-03 15:13:24,2025-09-03 15:18:24
O48,R20,S12,Eggs,"Janakpuri, Delhi",Moti Nagar,2025-09-09 12:45:24,2025-09-09 13:14:24,2025-09-09 13:35:24
O49,R56,S13,Eggs,"Janakpuri, Delhi",Kirti Nagar,2025-09-04 02:45:24,2025-09-04 03:07:24,2025-09-04 03:02:24
O50,R17,S9,Cheese,"Janakpuri, Delhi",Vikaspuri,2025-09-10 10:45:24,2025-09-10 11:17:24,2025-09-10 11:22:24
O51,R50,S1,Bread,"Janakpuri, Delhi",Janakpuri West,2025-09-04 21:45:24,2025-09-04 22:28:24,2025-09-04 22:57:24
O52,R42,S3,Juice,"Janakpuri, Delhi",Rajouri Garden,2025-09-07 18:45:24,2025-09-07 19:12:24,2025-09-07 19:32:24
O53,R41,S18,Sugar,"Janakpuri, Delhi",Dwarka,2025-09-07 04:45:24,2025-09-07 05:26:24,2025-09-07 05:28:24
O54,R3,S15,Sugar,"Janakpuri, Delhi",Vikaspuri,2025-09-02 16:45:24,2025-09-02 17:29:24,2025-09-02 17:44:24
O55,R62,S7,Juice,"Janakpuri, Delhi",Kirti Nagar,2025-08-30 13:45:24,2025-08-30 14:26:24,2025-08-30 14:51:24
O56,R23,S17,Juice,"Janakpuri, Delhi",Janakpuri West,2025-09-04 11:45:24,2025-09-04 12:10:24,2025-09-04 12:30:24
O57,R40,S11,Bread,"Janakpuri, Delhi",Janakpuri East,2025-09-05 17:45:24,2025-09-05 18:34:24,2025-09-05 18:30:24
O58,R19,S14,Bread,"Janakpuri, Delhi",Janakpuri West,2025-09-09 12:45:24,2025-09-09 13:32:24,2025-09-09 13:35:24
O59,R33,S9,Eggs,"Janakpuri, Delhi",Moti Nagar,2025-09-06 03:45:24,2025-09-06 04:35:24,2025-09-06 04:38:24
O60,R15,S7,Eggs,"Janakpuri, Delhi",Janakpuri East,2025-09-06 10:45:24,2025-09-06 11:11:24,2025-09-06 11:14:24
O61,R78,S4,Milk,"Janakpuri, Delhi",Paschim Vihar,2025-09-04 00:45:24,2025-09-04 01:11:24,2025-09-04 01:06:24
O62,R94,S20,Atta,"Janakpuri, Delhi",Vikaspuri,2025-08-31 08:45:24,2025-08-31 09:20:24,2025-08-31 09:37:24
O63,R13,S7,Rice,"Janakpuri, Delhi",Subhash Nagar,2025-09-04 16:45:24,2025-09-04 17:10:24,2025-09-04 17:09:24
O64,R23,S14,Bread,"Janakpuri, Delhi",Punjabi Bagh,2025-09-05 10:45:24,2025-09-05 11:33:24,2025-09-05 11:37:24
O65,R7,S8,Cheese,"Janakpuri, Delhi",Hari Nagar,2025-08-31 14:45:24,2025-08-31 15:11:24,2025-08-31 15:32:24
O66,R35,S10,Milk,"Janakpuri, Delhi",Vikaspuri,2025-09-03 03:45:24,2025-09-03 04:15:24,2025-09-03 04:18:24
