RiderID,Status,CurrentLocation
R1,Active,Patel Nagar
R2,Inactive,Paschim Vihar
R3,Active,Dwarka
R4,Inactive,Janakpuri East
R5,Inactive,Patel Nagar
R6,Inactive,Dwarka
R7,Inactive,Dwarka
R8,Inactive,Janakpuri West
R9,Inactive,Tilak Nagar
R10,Active,Najafgarh
R11,Inactive,Punjabi Bagh
R12,Active,Najafgarh
R13,Active,Vikaspuri
R14,Active,Janakpuri East
R15,Inactive,Moti Nagar
R16,Active,Kirti Nagar
R17,Active,Punjabi Bagh
R18,Inactive,Karol Bagh
R19,Active,Paschim Vihar
R20,Active,Moti Nagar
R21,Inactive,Kirti Nagar
R22,Inactive,Kirti Nagar
R23,Inactive,Vikaspuri
R24,Inactive,Uttam Nagar
R25,Inactive,Patel Nagar
R26,Inactive,Rajouri Garden
R27,Inactive,Patel Nagar
R28,Inactive,Janakpuri West
R29,Inactive,Vikaspuri
R30,Active,Punjabi Bagh
R31,Active,Najafgarh
R32,Active,Subhash Nagar
R33,Active,Paschim Vihar
R34,Active,Karol Bagh
R35,Active,Vikaspuri
R36,Active,Punjabi Bagh
R37,Inactive,Vikaspuri
R38,Active,Tilak Nagar
R39,Active,Vikaspuri
R40,Active,Kirti Nagar
R41,Inactive,Janakpuri East
R42,Inactive,Patel Nagar
R43,Inactive,Paschim Vihar
R44,Inactive,Tilak Nagar
R45,Active,Rajouri Garden
R46,Inactive,Paschim Vihar
R47,Active,Hari Nagar
R48,Inactive,Patel Nagar
R49,Inactive,Paschim Vihar
R50,Active,Janakpuri East
R51,Active,Uttam Nagar
R52,Active,Janakpuri East
R53,Inactive,Kirti Nagar
R54,Inactive,Hari Nagar
R55,Active,Karol Bagh
R56,Active,Punjabi Bagh
R57,Inactive,Punjabi Bagh
R58,Active,Patel Nagar
R59,Active,Hari Nagar
R60,Inactive,Janakpuri East
R61,Active,Tilak Nagar
R62,Inactive,Janakpuri East
R63,Inactive,Subhash Nagar
R64,Active,Karol Bagh
R65,Inactive,Paschim Vihar
R66,Active,Najafgarh
R67,Active,Rajouri Garden
R68,Active,Kirti Nagar
R69,Inactive,Punjabi Bagh
R70,Inactive,Najafgarh
R71,Active,Hari Nagar
R72,Inactive,Najafgarh
R73,Active,Punjabi Bagh
R74,Inactive,Punjabi Bagh
R75,Inactive,Patel Nagar
R76,Inactive,Hari Nagar
R77,Active,Punjabi Bagh
R78,Active,Patel Nagar
R79,Active,Janakpuri West
R80,Active,Rajouri Garden
R81,Active,Rajouri Garden
R82,Inactive,Paschim Vihar
R83,Inactive,Hari Nagar
R84,Active,Moti Nagar
R85,Active,Uttam Nagar
R86,Active,Hari Nagar
R87,Inactive,Janakpuri East
R88,Active,Najafgarh
R89,Inactive,Moti Nagar
R90,Inactive,Uttam Nagar
R91,Inactive,Moti Nagar
R92,Active,Tilak Nagar
R93,Inactive,Najafgarh
R94,Active,Moti Nagar
R95,Inactive,Hari Nagar
R96,Active,Punjabi Bagh
R97,Active,Tilak Nagar
R98,Inactive,Tilak Nagar
R99,Inactive,Hari Nagar
R100,Active,Najafgarh
