_id,flight._id,flight.FlightID,flight.Airline,flight.ScheduledDeparture,flight.ActualDeparture,flight.Gate,flight.DelayMinutes,flight.DeparturePlace,flight.DestinationPlace,baggage[0]._id,baggage[1]._id,baggage[2]._id,baggage[3]._id,baggage[4]._id,baggage[5]._id,baggage[6]._id,baggage[7]._id,baggage[8]._id,baggage[9]._id,baggage[10]._id,baggage[11]._id,baggage[12]._id,baggage[13]._id,baggage[14]._id,baggage[15]._id,baggage[0].BagID,baggage[1].BagID,baggage[2].BagID,baggage[3].BagID,baggage[4].BagID,baggage[5].BagID,baggage[6].BagID,baggage[7].BagID,baggage[8].BagID,baggage[9].BagID,baggage[10].BagID,baggage[11].BagID,baggage[12].BagID,baggage[13].BagID,baggage[14].BagID,baggage[15].BagID,baggage[0].PassengerID,baggage[1].PassengerID,baggage[2].PassengerID,baggage[3].PassengerID,baggage[4].PassengerID,baggage[5].PassengerID,baggage[6].PassengerID,baggage[7].PassengerID,baggage[8].PassengerID,baggage[9].PassengerID,baggage[10].PassengerID,baggage[11].PassengerID,baggage[12].PassengerID,baggage[13].PassengerID,baggage[14].PassengerID,baggage[15].PassengerID,baggage[0].FlightID,baggage[1].FlightID,baggage[2].FlightID,baggage[3].FlightID,baggage[4].FlightID,baggage[5].FlightID,baggage[6].FlightID,baggage[7].FlightID,baggage[8].FlightID,baggage[9].FlightID,baggage[10].FlightID,baggage[11].FlightID,baggage[12].FlightID,baggage[13].FlightID,baggage[14].FlightID,baggage[15].FlightID,baggage[0].LoadStatus,baggage[1].LoadStatus,baggage[2].LoadStatus,baggage[3].LoadStatus,baggage[4].LoadStatus,baggage[5].LoadStatus,baggage[6].LoadStatus,baggage[7].LoadStatus,baggage[8].LoadStatus,baggage[9].LoadStatus,baggage[10].LoadStatus,baggage[11].LoadStatus,baggage[12].LoadStatus,baggage[13].LoadStatus,baggage[14].LoadStatus,baggage[15].LoadStatus,last_updated,passengers[0]._id,passengers[1]._id,passengers[2]._id,passengers[3]._id,passengers[4]._id,passengers[5]._id,passengers[6]._id,passengers[7]._id,passengers[0].PassengerID,passengers[1].PassengerID,passengers[2].PassengerID,passengers[3].PassengerID,passengers[4].PassengerID,passengers[5].PassengerID,passengers[6].PassengerID,passengers[7].PassengerID,passengers[0].FlightID,passengers[1].FlightID,passengers[2].FlightID,passengers[3].FlightID,passengers[4].FlightID,passengers[5].FlightID,passengers[6].FlightID,passengers[7].FlightID,passengers[0].CheckInTime,passengers[1].CheckInTime,passengers[2].CheckInTime,passengers[3].CheckInTime,passengers[4].CheckInTime,passengers[5].CheckInTime,passengers[6].CheckInTime,passengers[7].CheckInTime,passengers[0].BoardingPassIssued,passengers[1].BoardingPassIssued,passengers[2].BoardingPassIssued,passengers[3].BoardingPassIssued,passengers[4].BoardingPassIssued,passengers[5].BoardingPassIssued,passengers[6].BoardingPassIssued,passengers[7].BoardingPassIssued,passengers[0].Gate,passengers[1].Gate,passengers[2].Gate,passengers[3].Gate,passengers[4].Gate,passengers[5].Gate,passengers[6].Gate,passengers[7].Gate
68bdee8a245a927ffb268ed7,68bb1c3af209a8b6c3314c65,FL1390,Turkish Airlines,2025-09-05 08:00:00,2025-09-05 08:10:00,G1,10,Dubai,Hong Kong,68bb1dc5f209a8b6c3314f77,68bdeead6d2564f9a09da4e7,,,,,,,,,,,,,,,BAG1176,BAG1176,,,,,,,,,,,,,,,PAX1000,PAX1000,,,,,,,,,,,,,,,FL1390,FL1390,,,,,,,,,,,,,,,Loaded,Loaded,,,,,,,,,,,,,,,2025-09-08 02:15:14,68bb1c71f209a8b6c3314cd3,68bb1cb2f209a8b6c3314d55,68bdee896d2564f9a09da2e4,68bdeea46d2564f9a09da471,,,,,PAX1000,PAX1130,PAX1000,PAX1130,,,,,FL1390,FL1390,FL1390,FL1390,,,,,2025-09-05 05:22:00,2025-09-05 06:54:00,2025-09-05 05:22:00,2025-09-05 06:54:00,,,,,true,false,true,false,,,,,G1,G1,G1,G1,,,,
68bdee8a245a927ffb268ed8,68bb1c11f209a8b6c3314c14,FL1309,Lufthansa,2025-09-03 15:30:00,2025-09-03 16:00:00,G18,30,Dubai,Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08 02:14:57,68bb1c71f209a8b6c3314cd4,68bdee8a6d2564f9a09da2e7,,,,,,,PAX1001,PAX1001,,,,,,,FL1309,FL1309,,,,,,,2025-09-03 13:07:00,2025-09-03 13:07:00,,,,,,,false,false,,,,,,,G18,G18,,,,,,
68bdee8a245a927ffb268ed9,68bb1b76f209a8b6c3314adf,FL1000,Air India,2025-08-28 05:00:00,2025-08-28 05:10:00,G15,10,Dubai,Paris,68bb1e1cf209a8b6c3315026,68bb1e52f209a8b6c3315090,68bdeed16d2564f9a09da6f9,68bdeee76d2564f9a09da840,,,,,,,,,,,,,BAG1351,BAG1457,BAG1351,BAG1457,,,,,,,,,,,,,PAX1408,PAX1408,PAX1408,PAX1408,,,,,,,,,,,,,FL1000,FL1000,FL1000,FL1000,,,,,,,,,,,,,Loaded,Loaded,Loaded,Loaded,,,,,,,,,,,,,2025-09-08 02:15:27,68bb1d3ef209a8b6c3314e6b,68bdeedd6d2564f9a09da7ad,,,,,,,PAX1408,PAX1408,,,,,,,FL1000,FL1000,,,,,,,2025-08-28 03:35:00,2025-08-28 03:35:00,,,,,,,true,true,,,,,,,G15,G15,,,,,,
68bdee8a245a927ffb268eda,68bb1bbef209a8b6c3314b6e,FL1143,Etihad,2025-08-31 04:30:00,2025-08-31 05:30:00,G15,60,Dubai,Bangkok,68bb1d6cf209a8b6c3314ec7,68bb1db2f209a8b6c3314f52,68bb1db4f209a8b6c3314f56,68bb1db8f209a8b6c3314f5d,68bb1e3ef209a8b6c3315068,68bb1e44f209a8b6c3315075,68bdee896d2564f9a09da2e5,68bdeea56d2564f9a09da477,68bdeea66d2564f9a09da484,68bdeea76d2564f9a09da499,68bdeedf6d2564f9a09da7c3,68bdeee16d2564f9a09da7ec,,,,,BAG1000,BAG1139,BAG1143,BAG1150,BAG1417,BAG1430,BAG1000,BAG1139,BAG1143,BAG1150,BAG1417,BAG1430,,,,,PAX1406,PAX1420,PAX1406,PAX1420,PAX1332,PAX1420,PAX1406,PAX1420,PAX1406,PAX1420,PAX1332,PAX1420,,,,,FL1143,FL1143,FL1143,FL1143,FL1143,FL1143,FL1143,FL1143,FL1143,FL1143,FL1143,FL1143,,,,,Loaded,Loaded,Not Loaded,Missing,Missing,Missing,Loaded,Loaded,Not Loaded,Missing,Missing,Missing,,,,,2025-09-08 02:15:22,68bb1d18f209a8b6c3314e1f,68bb1d3df209a8b6c3314e69,68bb1d44f209a8b6c3314e77,68bdeece6d2564f9a09da6ce,68bdeedd6d2564f9a09da7a7,68bdeee06d2564f9a09da7d1,,,PAX1332,PAX1406,PAX1420,PAX1332,PAX1406,PAX1420,,,FL1143,FL1143,FL1143,FL1143,FL1143,FL1143,,,2025-08-31 02:57:00,2025-08-31 03:29:00,2025-08-31 02:49:00,2025-08-31 02:57:00,2025-08-31 03:29:00,2025-08-31 02:49:00,,,true,false,true,true,false,true,,,G15,G15,G15,G15,G15,G15,,
68bdee8a245a927ffb268edb,68bb1c58f209a8b6c3314ca1,FL1450,British Airways,2025-09-06 14:00:00,2025-09-06 14:30:00,G20,30,Dubai,Doha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08 02:15:26,68bb1c72f209a8b6c3314cd5,68bb1c97f209a8b6c3314d1f,68bdee8a6d2564f9a09da2e8,68bdee996d2564f9a09da3ce,,,,,PAX1002,PAX1076,PAX1002,PAX1076,,,,,FL1450,FL1450,FL1450,FL1450,,,,,2025-09-06 11:52:00,2025-09-06 13:22:00,2025-09-06 11:52:00,2025-09-06 13:22:00,,,,,false,true,false,true,,,,,G20,G20,G20,G20,,,,
68bdee8a245a927ffb268edc,68bb1b76f209a8b6c3314ae0,FL1001,Etihad,2025-08-28 05:30:00,2025-08-28 05:45:00,G7,15,Dubai,Istanbul,68bb1d75f209a8b6c3314ed9,68bdee8d6d2564f9a09da31c,,,,,,,,,,,,,,,BAG1018,BAG1018,,,,,,,,,,,,,,,PAX1143,PAX1143,,,,,,,,,,,,,,,FL1001,FL1001,,,,,,,,,,,,,,,Missing,Missing,,,,,,,,,,,,,,,2025-09-08 02:14:23,68bb1cb9f209a8b6c3314d62,68bdeea76d2564f9a09da49a,,,,,,,PAX1143,PAX1143,,,,,,,FL1001,FL1001,,,,,,,2025-08-28 03:06:00,2025-08-28 03:06:00,,,,,,,false,false,,,,,,,G7,G7,,,,,,
68bdee8a245a927ffb268edd,68bb1babf209a8b6c3314b48,FL1105,Air India,2025-08-30 09:30:00,2025-08-30 10:30:00,G6,60,Dubai,Zurich,68bb1d6df209a8b6c3314ec8,68bdee8a6d2564f9a09da2ea,,,,,,,,,,,,,,,BAG1001,BAG1001,,,,,,,,,,,,,,,PAX1178,PAX1178,,,,,,,,,,,,,,,FL1105,FL1105,,,,,,,,,,,,,,,Missing,Missing,,,,,,,,,,,,,,,2025-09-08 02:14:31,68bb1ccaf209a8b6c3314d85,68bdeeae6d2564f9a09da504,,,,,,,PAX1178,PAX1178,,,,,,,FL1105,FL1105,,,,,,,2025-08-30 07:17:00,2025-08-30 07:17:00,,,,,,,false,false,,,,,,,G6,G6,,,,,,
68bdee8a245a927ffb268ede,68bb1b77f209a8b6c3314ae1,FL1002,Emirates,2025-08-28 06:00:00,2025-08-28 06:25:00,G11,25,Dubai,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08 02:15:33,68bb1d64f209a8b6c3314eb7,68bdeeed6d2564f9a09da891,,,,,,,PAX1484,PAX1484,,,,,,,FL1002,FL1002,,,,,,,2025-08-28 05:30:00,2025-08-28 05:30:00,,,,,,,false,false,,,,,,,G11,G11,,,,,,
68bdee8a245a927ffb268edf,68bb1ba0f209a8b6c3314b33,FL1084,Emirates,2025-08-29 23:00:00,2025-08-29 23:20:00,G5,20,Dubai,Doha,68bb1e08f209a8b6c3314ffe,68bb1e2df209a8b6c3315046,68bb1e5df209a8b6c33150a6,68bdeec96d2564f9a09da680,68bdeed86d2564f9a09da75b,68bdeeec6d2564f9a09da881,,,,,,,,,,,BAG1311,BAG1383,BAG1479,BAG1311,BAG1383,BAG1479,,,,,,,,,,,PAX1004,PAX1004,PAX1004,PAX1004,PAX1004,PAX1004,,,,,,,,,,,FL1084,FL1084,FL1084,FL1084,FL1084,FL1084,,,,,,,,,,,Not Loaded,Not Loaded,Missing,Not Loaded,Not Loaded,Missing,,,,,,,,,,,2025-09-08 02:15:32,68bb1c72f209a8b6c3314cd6,68bb1c73f209a8b6c3314cd7,68bdee8a6d2564f9a09da2ec,68bdee8a6d2564f9a09da2ef,,,,,PAX1003,PAX1004,PAX1003,PAX1004,,,,,FL1084,FL1084,FL1084,FL1084,,,,,2025-08-29 21:26:00,2025-08-29 22:26:00,2025-08-29 21:26:00,2025-08-29 22:26:00,,,,,true,true,true,true,,,,,G5,G5,G5,G5,,,,
68bdee8a245a927ffb268ee0,68bb1b7ff209a8b6c3314af1,FL1018,British Airways,2025-08-28 14:00:00,2025-08-28 15:00:00,G2,60,Dubai,Bangkok,68bb1d6df209a8b6c3314ec9,68bb1dc8f209a8b6c3314f7e,68bb1e45f209a8b6c3315077,68bdee8a6d2564f9a09da2ed,68bdeeae6d2564f9a09da4fc,68bdeee26d2564f9a09da7f2,,,,,,,,,,,BAG1002,BAG1183,BAG1432,BAG1002,BAG1183,BAG1432,,,,,,,,,,,PAX1163,PAX1163,PAX1163,PAX1163,PAX1163,PAX1163,,,,,,,,,,,FL1018,FL1018,FL1018,FL1018,FL1018,FL1018,,,,,,,,,,,Not Loaded,Loaded,Missing,Not Loaded,Loaded,Missing,,,,,,,,,,,2025-09-08 02:15:22,68bb1cc3f209a8b6c3314d76,68bdeeab6d2564f9a09da4d7,,,,,,,PAX1163,PAX1163,,,,,,,FL1018,FL1018,,,,,,,2025-08-28 11:00:00,2025-08-28 11:00:00,,,,,,,true,true,,,,,,,G2,G2,,,,,,
