_id,alert_type,flight_id,delay_minutes,message
68bb1b7e25f0d180e331f1f9,flight_delay,FL1017,60,Flight FL1017 delayed by 60 minutes
68bb1b7f25f0d180e331f1fa,flight_delay,FL1018,60,Flight FL1018 delayed by 60 minutes
68bb1b8125f0d180e331f1fb,flight_delay,FL1023,60,Flight FL1023 delayed by 60 minutes
68bb1b9125f0d180e331f1fc,flight_delay,FL1054,60,Flight FL1054 delayed by 60 minutes
68bb1b9a25f0d180e331f1fd,flight_delay,FL1071,60,Flight FL1071 delayed by 60 minutes
68bb1b9d25f0d180e331f1fe,flight_delay,FL1078,60,Flight FL1078 delayed by 60 minutes
68bb1ba025f0d180e331f1ff,flight_delay,FL1083,60,Flight FL1083 delayed by 60 minutes
68bb1ba425f0d180e331f200,flight_delay,FL1091,60,Flight FL1091 delayed by 60 minutes
68bb1ba825f0d180e331f201,flight_delay,FL1099,60,Flight FL1099 delayed by 60 minutes
68bb1bab25f0d180e331f202,flight_delay,FL1105,60,Flight FL1105 delayed by 60 minutes
68bb1bb225f0d180e331f203,flight_delay,FL1120,60,Flight FL1120 delayed by 60 minutes
68bb1bb725f0d180e331f204,flight_delay,FL1129,60,Flight FL1129 delayed by 60 minutes
68bb1bb925f0d180e331f205,flight_delay,FL1134,60,Flight FL1134 delayed by 60 minutes
68bb1bba25f0d180e331f206,flight_delay,FL1136,60,Flight FL1136 delayed by 60 minutes
68bb1bbe25f0d180e331f207,flight_delay,FL1143,60,Flight FL1143 delayed by 60 minutes
68bb1bc225f0d180e331f208,flight_delay,FL1151,60,Flight FL1151 delayed by 60 minutes
68bb1bc425f0d180e331f209,flight_delay,FL1156,60,Flight FL1156 delayed by 60 minutes
68bb1bc525f0d180e331f20a,flight_delay,FL1157,60,Flight FL1157 delayed by 60 minutes
68bb1bce25f0d180e331f20b,flight_delay,FL1175,60,Flight FL1175 delayed by 60 minutes
68bb1bd725f0d180e331f20c,flight_delay,FL1194,60,Flight FL1194 delayed by 60 minutes
68bb1bdb25f0d180e331f20d,flight_delay,FL1201,60,Flight FL1201 delayed by 60 minutes
68bb1bde25f0d180e331f20e,flight_delay,FL1208,60,Flight FL1208 delayed by 60 minutes
68bb1be025f0d180e331f20f,flight_delay,FL1212,60,Flight FL1212 delayed by 60 minutes
68bb1beb25f0d180e331f210,flight_delay,FL1234,60,Flight FL1234 delayed by 60 minutes
68bb1bf525f0d180e331f211,flight_delay,FL1253,60,Flight FL1253 delayed by 60 minutes
68bb1bff25f0d180e331f212,flight_delay,FL1273,60,Flight FL1273 delayed by 60 minutes
68bb1c0125f0d180e331f213,flight_delay,FL1277,60,Flight FL1277 delayed by 60 minutes
68bb1c0425f0d180e331f214,flight_delay,FL1283,60,Flight FL1283 delayed by 60 minutes
68bb1c1225f0d180e331f215,flight_delay,FL1310,60,Flight FL1310 delayed by 60 minutes
68bb1c1725f0d180e331f216,flight_delay,FL1320,60,Flight FL1320 delayed by 60 minutes
68bb1c1825f0d180e331f217,flight_delay,FL1323,60,Flight FL1323 delayed by 60 minutes
68bb1c1b25f0d180e331f218,flight_delay,FL1329,60,Flight FL1329 delayed by 60 minutes
68bb1c1e25f0d180e331f219,flight_delay,FL1334,60,Flight FL1334 delayed by 60 minutes
68bb1c3025f0d180e331f21a,flight_delay,FL1371,60,Flight FL1371 delayed by 60 minutes
68bb1c3725f0d180e331f21b,flight_delay,FL1384,60,Flight FL1384 delayed by 60 minutes
68bb1c3c25f0d180e331f21c,flight_delay,FL1394,60,Flight FL1394 delayed by 60 minutes
68bb1c3e25f0d180e331f21d,flight_delay,FL1399,60,Flight FL1399 delayed by 60 minutes
68bb1c4025f0d180e331f21e,flight_delay,FL1402,60,Flight FL1402 delayed by 60 minutes
68bb1c4f25f0d180e331f21f,flight_delay,FL1433,60,Flight FL1433 delayed by 60 minutes
68bb1c5325f0d180e331f220,flight_delay,FL1440,60,Flight FL1440 delayed by 60 minutes
68bb1c5f25f0d180e331f221,flight_delay,FL1465,60,Flight FL1465 delayed by 60 minutes
68bb1c6325f0d180e331f222,flight_delay,FL1472,60,Flight FL1472 delayed by 60 minutes
68bb1c6e25f0d180e331f223,flight_delay,FL1493,60,Flight FL1493 delayed by 60 minutes
68bb1c6f25f0d180e331f224,flight_delay,FL1495,60,Flight FL1495 delayed by 60 minutes
68bb1c7025f0d180e331f225,flight_delay,FL1497,60,Flight FL1497 delayed by 60 minutes
