FlightID,Airline,ScheduledDeparture,ActualDeparture,Gate,DelayMinutes,DeparturePlace,DestinationPlace
FL1000,Air India,2025-08-28 05:00:00,2025-08-28 05:10:00,G15,10,Dubai,Paris
FL1001,Etihad,2025-08-28 05:30:00,2025-08-28 05:45:00,G7,15,Dubai,Istanbul
FL1002,Emirates,2025-08-28 06:00:00,2025-08-28 06:25:00,G11,25,Dubai,Chicago
FL1003,Air India,2025-08-28 06:30:00,2025-08-28 06:30:00,G6,0,Dubai,Toronto
FL1004,Singapore Airlines,2025-08-28 07:00:00,2025-08-28 07:15:00,G15,15,Dubai,Singapore
FL1005,Lufthansa,2025-08-28 07:30:00,2025-08-28 08:05:00,G5,35,Dubai,Frankfurt
FL1006,Qatar Airways,2025-08-28 08:00:00,2025-08-28 08:40:00,G19,40,Dubai,Cape Town
FL1007,Etihad,2025-08-28 08:30:00,2025-08-28 09:10:00,G6,40,Dubai,New York
FL1008,Qatar Airways,2025-08-28 09:00:00,2025-08-28 09:35:00,G1,35,Dubai,Bangkok
FL1009,Turkish Airlines,2025-08-28 09:30:00,2025-08-28 09:40:00,G18,10,Dubai,Frankfurt
FL1010,Singapore Airlines,2025-08-28 10:00:00,2025-08-28 10:20:00,G18,20,Dubai,London
FL1011,Emirates,2025-08-28 10:30:00,2025-08-28 11:10:00,G8,40,Dubai,Singapore
FL1012,Etihad,2025-08-28 11:00:00,2025-08-28 11:25:00,G12,25,Dubai,Frankfurt
FL1013,Lufthansa,2025-08-28 11:30:00,2025-08-28 11:40:00,G2,10,Dubai,Amsterdam
FL1014,Qatar Airways,2025-08-28 12:00:00,2025-08-28 12:00:00,G9,0,Dubai,Toronto
FL1015,British Airways,2025-08-28 12:30:00,2025-08-28 12:50:00,G15,20,Dubai,Los Angeles
FL1016,Turkish Airlines,2025-08-28 13:00:00,2025-08-28 13:40:00,G19,40,Dubai,Istanbul
FL1017,Emirates,2025-08-28 13:30:00,2025-08-28 14:30:00,G9,60,Dubai,Istanbul
FL1018,British Airways,2025-08-28 14:00:00,2025-08-28 15:00:00,G2,60,Dubai,Bangkok
FL1019,Air India,2025-08-28 14:30:00,2025-08-28 14:45:00,G12,15,Dubai,Delhi
FL1020,Air India,2025-08-28 15:00:00,2025-08-28 15:40:00,G8,40,Dubai,Hong Kong
FL1021,British Airways,2025-08-28 15:30:00,2025-08-28 15:50:00,G14,20,Dubai,Delhi
FL1022,Turkish Airlines,2025-08-28 16:00:00,2025-08-28 16:30:00,G13,30,Dubai,Zurich
FL1023,Air India,2025-08-28 16:30:00,2025-08-28 17:30:00,G20,60,Dubai,Mumbai
FL1024,Air India,2025-08-28 17:00:00,2025-08-28 17:30:00,G12,30,Dubai,Paris
FL1025,Qatar Airways,2025-08-28 17:30:00,2025-08-28 18:10:00,G4,40,Dubai,Tokyo
FL1026,Turkish Airlines,2025-08-28 18:00:00,2025-08-28 18:35:00,G3,35,Dubai,Frankfurt
FL1027,Air India,2025-08-28 18:30:00,2025-08-28 19:00:00,G20,30,Dubai,Amsterdam
FL1028,Singapore Airlines,2025-08-28 19:00:00,2025-08-28 19:30:00,G12,30,Dubai,Toronto
FL1029,Lufthansa,2025-08-28 19:30:00,2025-08-28 19:45:00,G15,15,Dubai,Cape Town
FL1030,Lufthansa,2025-08-28 20:00:00,2025-08-28 20:25:00,G19,25,Dubai,Los Angeles
FL1031,Lufthansa,2025-08-28 20:30:00,2025-08-28 20:50:00,G9,20,Dubai,Amsterdam
FL1032,Singapore Airlines,2025-08-28 21:00:00,2025-08-28 21:10:00,G16,10,Dubai,Cape Town
FL1033,Air India,2025-08-28 21:30:00,2025-08-28 21:55:00,G19,25,Dubai,Singapore
FL1034,Etihad,2025-08-28 22:00:00,2025-08-28 22:10:00,G7,10,Dubai,Toronto
FL1035,Singapore Airlines,2025-08-28 22:30:00,2025-08-28 22:45:00,G1,15,Dubai,Chicago
FL1036,Turkish Airlines,2025-08-28 23:00:00,2025-08-28 23:00:00,G15,0,Dubai,Los Angeles
FL1037,Qatar Airways,2025-08-28 23:30:00,2025-08-28 23:40:00,G11,10,Dubai,New York
FL1038,Qatar Airways,2025-08-29 00:00:00,2025-08-29 00:35:00,G9,35,Dubai,Toronto
FL1039,Air India,2025-08-29 00:30:00,2025-08-29 00:45:00,G5,15,Dubai,Istanbul
FL1040,Etihad,2025-08-29 01:00:00,2025-08-29 01:35:00,G16,35,Dubai,Doha
FL1041,Etihad,2025-08-29 01:30:00,2025-08-29 01:40:00,G17,10,Dubai,Chicago
FL1042,British Airways,2025-08-29 02:00:00,2025-08-29 02:25:00,G8,25,Dubai,Paris
FL1043,Turkish Airlines,2025-08-29 02:30:00,2025-08-29 02:40:00,G8,10,Dubai,Cape Town
FL1044,Singapore Airlines,2025-08-29 03:00:00,2025-08-29 03:00:00,G20,0,Dubai,Sydney
FL1045,Etihad,2025-08-29 03:30:00,2025-08-29 03:50:00,G16,20,Dubai,Istanbul
FL1046,Singapore Airlines,2025-08-29 04:00:00,2025-08-29 04:00:00,G4,0,Dubai,Cape Town
FL1047,Etihad,2025-08-29 04:30:00,2025-08-29 04:50:00,G10,20,Dubai,Bangkok
FL1048,Air India,2025-08-29 05:00:00,2025-08-29 05:00:00,G11,0,Dubai,Tokyo
FL1049,Lufthansa,2025-08-29 05:30:00,2025-08-29 06:00:00,G1,30,Dubai,Amsterdam
FL1050,Air India,2025-08-29 06:00:00,2025-08-29 06:25:00,G17,25,Dubai,Amsterdam
FL1051,Turkish Airlines,2025-08-29 06:30:00,2025-08-29 07:00:00,G18,30,Dubai,Cape Town
FL1052,Air India,2025-08-29 07:00:00,2025-08-29 07:00:00,G5,0,Dubai,Chicago
FL1053,British Airways,2025-08-29 07:30:00,2025-08-29 08:00:00,G20,30,Dubai,Tokyo
FL1054,Lufthansa,2025-08-29 08:00:00,2025-08-29 09:00:00,G2,60,Dubai,Toronto
FL1055,Qatar Airways,2025-08-29 08:30:00,2025-08-29 08:50:00,G3,20,Dubai,Chicago
FL1056,British Airways,2025-08-29 09:00:00,2025-08-29 09:40:00,G8,40,Dubai,Rome
FL1057,Qatar Airways,2025-08-29 09:30:00,2025-08-29 09:40:00,G2,10,Dubai,Cape Town
FL1058,Air India,2025-08-29 10:00:00,2025-08-29 10:40:00,G3,40,Dubai,New York
FL1059,Lufthansa,2025-08-29 10:30:00,2025-08-29 11:05:00,G9,35,Dubai,Zurich
FL1060,Air India,2025-08-29 11:00:00,2025-08-29 11:25:00,G15,25,Dubai,Istanbul
FL1061,Singapore Airlines,2025-08-29 11:30:00,2025-08-29 11:40:00,G16,10,Dubai,Delhi
FL1062,Qatar Airways,2025-08-29 12:00:00,2025-08-29 12:15:00,G16,15,Dubai,Mumbai
FL1063,British Airways,2025-08-29 12:30:00,2025-08-29 12:50:00,G6,20,Dubai,Tokyo
FL1064,Air India,2025-08-29 13:00:00,2025-08-29 13:15:00,G15,15,Dubai,Chicago
FL1065,Etihad,2025-08-29 13:30:00,2025-08-29 13:30:00,G3,0,Dubai,Mumbai
FL1066,Air India,2025-08-29 14:00:00,2025-08-29 14:15:00,G9,15,Dubai,Singapore
FL1067,Air India,2025-08-29 14:30:00,2025-08-29 14:45:00,G14,15,Dubai,Hong Kong
FL1068,Singapore Airlines,2025-08-29 15:00:00,2025-08-29 15:30:00,G1,30,Dubai,Amsterdam
FL1069,Lufthansa,2025-08-29 15:30:00,2025-08-29 15:50:00,G14,20,Dubai,Cape Town
FL1070,Turkish Airlines,2025-08-29 16:00:00,2025-08-29 16:15:00,G15,15,Dubai,Mumbai
FL1071,Air India,2025-08-29 16:30:00,2025-08-29 17:30:00,G5,60,Dubai,Paris
FL1072,Etihad,2025-08-29 17:00:00,2025-08-29 17:00:00,G15,0,Dubai,Los Angeles
FL1073,Etihad,2025-08-29 17:30:00,2025-08-29 18:05:00,G18,35,Dubai,Rome
FL1074,Etihad,2025-08-29 18:00:00,2025-08-29 18:40:00,G10,40,Dubai,London
FL1075,Qatar Airways,2025-08-29 18:30:00,2025-08-29 18:50:00,G15,20,Dubai,Frankfurt
FL1076,Turkish Airlines,2025-08-29 19:00:00,2025-08-29 19:25:00,G2,25,Dubai,London
FL1077,Air India,2025-08-29 19:30:00,2025-08-29 19:30:00,G18,0,Dubai,Hong Kong
FL1078,Qatar Airways,2025-08-29 20:00:00,2025-08-29 21:00:00,G12,60,Dubai,Cape Town
FL1079,Turkish Airlines,2025-08-29 20:30:00,2025-08-29 21:10:00,G18,40,Dubai,Frankfurt
FL1080,Singapore Airlines,2025-08-29 21:00:00,2025-08-29 21:10:00,G8,10,Dubai,Tokyo
FL1081,British Airways,2025-08-29 21:30:00,2025-08-29 21:40:00,G18,10,Dubai,New York
FL1082,Singapore Airlines,2025-08-29 22:00:00,2025-08-29 22:25:00,G19,25,Dubai,Zurich
FL1083,Turkish Airlines,2025-08-29 22:30:00,2025-08-29 23:30:00,G16,60,Dubai,Istanbul
FL1084,Emirates,2025-08-29 23:00:00,2025-08-29 23:20:00,G5,20,Dubai,Doha
FL1085,Emirates,2025-08-29 23:30:00,2025-08-29 23:45:00,G7,15,Dubai,Frankfurt
FL1086,Singapore Airlines,2025-08-30 00:00:00,2025-08-30 00:25:00,G17,25,Dubai,Sydney
FL1087,Etihad,2025-08-30 00:30:00,2025-08-30 01:00:00,G3,30,Dubai,Cape Town
FL1088,Qatar Airways,2025-08-30 01:00:00,2025-08-30 01:25:00,G2,25,Dubai,Istanbul
FL1089,Etihad,2025-08-30 01:30:00,2025-08-30 01:40:00,G10,10,Dubai,Hong Kong
FL1090,Air India,2025-08-30 02:00:00,2025-08-30 02:25:00,G13,25,Dubai,Hong Kong
FL1091,British Airways,2025-08-30 02:30:00,2025-08-30 03:30:00,G17,60,Dubai,Singapore
FL1092,Emirates,2025-08-30 03:00:00,2025-08-30 03:40:00,G19,40,Dubai,Tokyo
FL1093,British Airways,2025-08-30 03:30:00,2025-08-30 03:55:00,G10,25,Dubai,Hong Kong
FL1094,Qatar Airways,2025-08-30 04:00:00,2025-08-30 04:35:00,G19,35,Dubai,Cape Town
FL1095,British Airways,2025-08-30 04:30:00,2025-08-30 05:10:00,G8,40,Dubai,Bangkok
FL1096,Singapore Airlines,2025-08-30 05:00:00,2025-08-30 05:40:00,G17,40,Dubai,Toronto
FL1097,Turkish Airlines,2025-08-30 05:30:00,2025-08-30 05:45:00,G10,15,Dubai,Delhi
FL1098,Singapore Airlines,2025-08-30 06:00:00,2025-08-30 06:20:00,G17,20,Dubai,Los Angeles
FL1099,Emirates,2025-08-30 06:30:00,2025-08-30 07:30:00,G16,60,Dubai,Rome
FL1100,Singapore Airlines,2025-08-30 07:00:00,2025-08-30 07:40:00,G14,40,Dubai,Istanbul
FL1101,Etihad,2025-08-30 07:30:00,2025-08-30 07:50:00,G14,20,Dubai,Tokyo
FL1102,Qatar Airways,2025-08-30 08:00:00,2025-08-30 08:30:00,G20,30,Dubai,Sydney
FL1103,Emirates,2025-08-30 08:30:00,2025-08-30 08:50:00,G7,20,Dubai,Frankfurt
FL1104,Singapore Airlines,2025-08-30 09:00:00,2025-08-30 09:40:00,G5,40,Dubai,Toronto
FL1105,Air India,2025-08-30 09:30:00,2025-08-30 10:30:00,G6,60,Dubai,Zurich
FL1106,Turkish Airlines,2025-08-30 10:00:00,2025-08-30 10:25:00,G18,25,Dubai,Delhi
FL1107,Air India,2025-08-30 10:30:00,2025-08-30 11:05:00,G16,35,Dubai,Doha
FL1108,Singapore Airlines,2025-08-30 11:00:00,2025-08-30 11:30:00,G10,30,Dubai,Toronto
FL1109,British Airways,2025-08-30 11:30:00,2025-08-30 11:40:00,G2,10,Dubai,Delhi
FL1110,British Airways,2025-08-30 12:00:00,2025-08-30 12:40:00,G1,40,Dubai,New York
FL1111,Lufthansa,2025-08-30 12:30:00,2025-08-30 12:50:00,G6,20,Dubai,Bangkok
FL1112,Singapore Airlines,2025-08-30 13:00:00,2025-08-30 13:15:00,G17,15,Dubai,Bangkok
FL1113,Emirates,2025-08-30 13:30:00,2025-08-30 14:10:00,G17,40,Dubai,London
FL1114,Air India,2025-08-30 14:00:00,2025-08-30 14:15:00,G1,15,Dubai,Paris
FL1115,Air India,2025-08-30 14:30:00,2025-08-30 15:10:00,G13,40,Dubai,Tokyo
FL1116,Air India,2025-08-30 15:00:00,2025-08-30 15:30:00,G20,30,Dubai,Chicago
FL1117,Emirates,2025-08-30 15:30:00,2025-08-30 16:10:00,G9,40,Dubai,London
FL1118,Air India,2025-08-30 16:00:00,2025-08-30 16:30:00,G1,30,Dubai,Amsterdam
FL1119,Singapore Airlines,2025-08-30 16:30:00,2025-08-30 16:30:00,G17,0,Dubai,Hong Kong
FL1120,Singapore Airlines,2025-08-30 17:00:00,2025-08-30 18:00:00,G11,60,Dubai,New York
FL1121,Qatar Airways,2025-08-30 17:30:00,2025-08-30 18:10:00,G9,40,Dubai,Zurich
FL1122,Lufthansa,2025-08-30 18:00:00,2025-08-30 18:20:00,G9,20,Dubai,Tokyo
FL1123,Air India,2025-08-30 18:30:00,2025-08-30 18:45:00,G20,15,Dubai,Zurich
FL1124,Qatar Airways,2025-08-30 19:00:00,2025-08-30 19:35:00,G16,35,Dubai,Amsterdam
FL1125,Qatar Airways,2025-08-30 19:30:00,2025-08-30 19:50:00,G6,20,Dubai,London
FL1126,Turkish Airlines,2025-08-30 20:00:00,2025-08-30 20:25:00,G17,25,Dubai,Delhi
FL1127,Qatar Airways,2025-08-30 20:30:00,2025-08-30 20:55:00,G13,25,Dubai,Los Angeles
FL1128,Emirates,2025-08-30 21:00:00,2025-08-30 21:00:00,G5,0,Dubai,Istanbul
FL1129,Air India,2025-08-30 21:30:00,2025-08-30 22:30:00,G5,60,Dubai,Singapore
FL1130,Qatar Airways,2025-08-30 22:00:00,2025-08-30 22:15:00,G1,15,Dubai,Doha
FL1131,Singapore Airlines,2025-08-30 22:30:00,2025-08-30 22:45:00,G6,15,Dubai,Singapore
FL1132,Qatar Airways,2025-08-30 23:00:00,2025-08-30 23:00:00,G19,0,Dubai,Los Angeles
FL1133,British Airways,2025-08-30 23:30:00,2025-08-30 23:40:00,G2,10,Dubai,Chicago
FL1134,Turkish Airlines,2025-08-31 00:00:00,2025-08-31 01:00:00,G11,60,Dubai,Delhi
FL1135,Lufthansa,2025-08-31 00:30:00,2025-08-31 00:40:00,G18,10,Dubai,Toronto
FL1136,British Airways,2025-08-31 01:00:00,2025-08-31 02:00:00,G20,60,Dubai,Toronto
FL1137,Emirates,2025-08-31 01:30:00,2025-08-31 01:55:00,G1,25,Dubai,Zurich
FL1138,Singapore Airlines,2025-08-31 02:00:00,2025-08-31 02:15:00,G1,15,Dubai,Hong Kong
FL1139,Singapore Airlines,2025-08-31 02:30:00,2025-08-31 02:45:00,G6,15,Dubai,Zurich
FL1140,Singapore Airlines,2025-08-31 03:00:00,2025-08-31 03:15:00,G5,15,Dubai,Istanbul
FL1141,Qatar Airways,2025-08-31 03:30:00,2025-08-31 04:00:00,G10,30,Dubai,Hong Kong
FL1142,Air India,2025-08-31 04:00:00,2025-08-31 04:30:00,G7,30,Dubai,Amsterdam
FL1143,Etihad,2025-08-31 04:30:00,2025-08-31 05:30:00,G15,60,Dubai,Bangkok
FL1144,British Airways,2025-08-31 05:00:00,2025-08-31 05:00:00,G7,0,Dubai,Bangkok
FL1145,Turkish Airlines,2025-08-31 05:30:00,2025-08-31 05:55:00,G3,25,Dubai,Delhi
FL1146,Lufthansa,2025-08-31 06:00:00,2025-08-31 06:20:00,G6,20,Dubai,London
FL1147,Air India,2025-08-31 06:30:00,2025-08-31 07:00:00,G4,30,Dubai,Toronto
FL1148,British Airways,2025-08-31 07:00:00,2025-08-31 07:15:00,G15,15,Dubai,Hong Kong
FL1149,Lufthansa,2025-08-31 07:30:00,2025-08-31 08:10:00,G18,40,Dubai,Tokyo
FL1150,Singapore Airlines,2025-08-31 08:00:00,2025-08-31 08:25:00,G13,25,Dubai,Delhi
FL1151,Air India,2025-08-31 08:30:00,2025-08-31 09:30:00,G14,60,Dubai,New York
FL1152,Singapore Airlines,2025-08-31 09:00:00,2025-08-31 09:20:00,G8,20,Dubai,Frankfurt
FL1153,Emirates,2025-08-31 09:30:00,2025-08-31 09:50:00,G8,20,Dubai,New York
FL1154,Qatar Airways,2025-08-31 10:00:00,2025-08-31 10:20:00,G7,20,Dubai,Hong Kong
FL1155,Lufthansa,2025-08-31 10:30:00,2025-08-31 11:05:00,G7,35,Dubai,Istanbul
FL1156,Turkish Airlines,2025-08-31 11:00:00,2025-08-31 12:00:00,G12,60,Dubai,Paris
FL1157,Emirates,2025-08-31 11:30:00,2025-08-31 12:30:00,G6,60,Dubai,Istanbul
FL1158,Emirates,2025-08-31 12:00:00,2025-08-31 12:20:00,G6,20,Dubai,Sydney
FL1159,British Airways,2025-08-31 12:30:00,2025-08-31 13:00:00,G16,30,Dubai,Hong Kong
FL1160,Lufthansa,2025-08-31 13:00:00,2025-08-31 13:00:00,G4,0,Dubai,Rome
FL1161,British Airways,2025-08-31 13:30:00,2025-08-31 14:10:00,G13,40,Dubai,Delhi
FL1162,Emirates,2025-08-31 14:00:00,2025-08-31 14:15:00,G16,15,Dubai,Toronto
FL1163,Air India,2025-08-31 14:30:00,2025-08-31 14:40:00,G17,10,Dubai,Los Angeles
FL1164,Emirates,2025-08-31 15:00:00,2025-08-31 15:00:00,G8,0,Dubai,Delhi
FL1165,Lufthansa,2025-08-31 15:30:00,2025-08-31 15:55:00,G7,25,Dubai,Sydney
FL1166,British Airways,2025-08-31 16:00:00,2025-08-31 16:00:00,G4,0,Dubai,Rome
FL1167,Etihad,2025-08-31 16:30:00,2025-08-31 17:00:00,G11,30,Dubai,Cape Town
FL1168,British Airways,2025-08-31 17:00:00,2025-08-31 17:40:00,G7,40,Dubai,Sydney
FL1169,British Airways,2025-08-31 17:30:00,2025-08-31 18:00:00,G15,30,Dubai,Mumbai
FL1170,British Airways,2025-08-31 18:00:00,2025-08-31 18:30:00,G14,30,Dubai,Mumbai
FL1171,Emirates,2025-08-31 18:30:00,2025-08-31 19:05:00,G17,35,Dubai,Tokyo
FL1172,Qatar Airways,2025-08-31 19:00:00,2025-08-31 19:40:00,G7,40,Dubai,Toronto
FL1173,Turkish Airlines,2025-08-31 19:30:00,2025-08-31 20:05:00,G18,35,Dubai,Singapore
FL1174,Turkish Airlines,2025-08-31 20:00:00,2025-08-31 20:20:00,G2,20,Dubai,New York
FL1175,Air India,2025-08-31 20:30:00,2025-08-31 21:30:00,G12,60,Dubai,Tokyo
FL1176,Air India,2025-08-31 21:00:00,2025-08-31 21:30:00,G10,30,Dubai,Toronto
FL1177,British Airways,2025-08-31 21:30:00,2025-08-31 21:45:00,G18,15,Dubai,Paris
FL1178,Lufthansa,2025-08-31 22:00:00,2025-08-31 22:30:00,G13,30,Dubai,Zurich
FL1179,Turkish Airlines,2025-08-31 22:30:00,2025-08-31 22:30:00,G7,0,Dubai,Istanbul
FL1180,Qatar Airways,2025-08-31 23:00:00,2025-08-31 23:10:00,G1,10,Dubai,Paris
FL1181,Turkish Airlines,2025-08-31 23:30:00,2025-08-31 23:45:00,G15,15,Dubai,Doha
FL1182,Lufthansa,2025-09-01 00:00:00,2025-09-01 00:35:00,G15,35,Dubai,Chicago
FL1183,Singapore Airlines,2025-09-01 00:30:00,2025-09-01 00:40:00,G4,10,Dubai,Hong Kong
FL1184,Emirates,2025-09-01 01:00:00,2025-09-01 01:20:00,G5,20,Dubai,Hong Kong
FL1185,British Airways,2025-09-01 01:30:00,2025-09-01 02:05:00,G20,35,Dubai,Doha
FL1186,Singapore Airlines,2025-09-01 02:00:00,2025-09-01 02:15:00,G11,15,Dubai,Rome
FL1187,British Airways,2025-09-01 02:30:00,2025-09-01 02:40:00,G10,10,Dubai,New York
FL1188,Air India,2025-09-01 03:00:00,2025-09-01 03:30:00,G5,30,Dubai,Toronto
FL1189,Air India,2025-09-01 03:30:00,2025-09-01 04:00:00,G12,30,Dubai,Amsterdam
FL1190,Lufthansa,2025-09-01 04:00:00,2025-09-01 04:20:00,G1,20,Dubai,Chicago
FL1191,Qatar Airways,2025-09-01 04:30:00,2025-09-01 05:00:00,G14,30,Dubai,Rome
FL1192,British Airways,2025-09-01 05:00:00,2025-09-01 05:10:00,G12,10,Dubai,Chicago
FL1193,Singapore Airlines,2025-09-01 05:30:00,2025-09-01 06:10:00,G3,40,Dubai,Bangkok
FL1194,Singapore Airlines,2025-09-01 06:00:00,2025-09-01 07:00:00,G13,60,Dubai,London
FL1195,Emirates,2025-09-01 06:30:00,2025-09-01 06:30:00,G6,0,Dubai,London
FL1196,Qatar Airways,2025-09-01 07:00:00,2025-09-01 07:25:00,G7,25,Dubai,Los Angeles
FL1197,Etihad,2025-09-01 07:30:00,2025-09-01 07:45:00,G15,15,Dubai,Hong Kong
FL1198,Air India,2025-09-01 08:00:00,2025-09-01 08:30:00,G12,30,Dubai,Toronto
FL1199,Emirates,2025-09-01 08:30:00,2025-09-01 08:45:00,G10,15,Dubai,Singapore
FL1200,Lufthansa,2025-09-01 09:00:00,2025-09-01 09:00:00,G13,0,Dubai,Los Angeles
FL1201,Emirates,2025-09-01 09:30:00,2025-09-01 10:30:00,G8,60,Dubai,Rome
FL1202,Emirates,2025-09-01 10:00:00,2025-09-01 10:00:00,G5,0,Dubai,Singapore
FL1203,Qatar Airways,2025-09-01 10:30:00,2025-09-01 10:55:00,G14,25,Dubai,Amsterdam
FL1204,British Airways,2025-09-01 11:00:00,2025-09-01 11:30:00,G19,30,Dubai,Frankfurt
FL1205,Qatar Airways,2025-09-01 11:30:00,2025-09-01 11:30:00,G18,0,Dubai,Rome
FL1206,Singapore Airlines,2025-09-01 12:00:00,2025-09-01 12:20:00,G15,20,Dubai,Zurich
FL1207,Air India,2025-09-01 12:30:00,2025-09-01 12:50:00,G14,20,Dubai,New York
FL1208,Lufthansa,2025-09-01 13:00:00,2025-09-01 14:00:00,G9,60,Dubai,Rome
