PassengerID,FlightID,CheckInTime,BoardingPassIssued,Gate
PAX1000,FL1390,2025-09-05 05:22:00,True,G1
PAX1001,FL1309,2025-09-03 13:07:00,False,G18
PAX1002,FL1450,2025-09-06 11:52:00,False,G20
PAX1003,FL1084,2025-08-29 21:26:00,True,G5
PAX1004,FL1084,2025-08-29 22:26:00,True,G5
PAX1005,FL1091,2025-08-30 01:46:00,True,G17
PAX1006,FL1264,2025-09-02 16:21:00,True,G10
PAX1007,FL1376,2025-09-04 22:49:00,True,G4
PAX1008,FL1459,2025-09-06 17:55:00,False,G13
PAX1009,FL1127,2025-08-30 19:07:00,False,G13
PAX1010,FL1323,2025-09-03 20:11:00,False,G7
PAX1011,FL1462,2025-09-06 17:55:00,True,G2
PAX1012,FL1129,2025-08-30 20:25:00,True,G5
PAX1013,FL1174,2025-08-31 19:24:00,False,G2
PAX1014,FL1413,2025-09-05 18:31:00,True,G13
PAX1015,FL1325,2025-09-03 21:18:00,True,G20
PAX1016,FL1134,2025-08-30 23:13:00,True,G11
PAX1017,FL1304,2025-09-03 11:44:00,False,G17
PAX1018,FL1378,2025-09-04 23:27:00,True,G2
PAX1019,FL1279,2025-09-02 23:10:00,False,G7
PAX1020,FL1375,2025-09-04 23:48:00,False,G16
PAX1021,FL1180,2025-08-31 21:36:00,True,G1
PAX1022,FL1481,2025-09-07 04:19:00,False,G7
PAX1023,FL1160,2025-08-31 11:17:00,False,G4
PAX1024,FL1068,2025-08-29 12:57:00,True,G1
PAX1025,FL1376,2025-09-04 23:22:00,True,G4
PAX1026,FL1268,2025-09-02 17:54:00,False,G14
PAX1027,FL1080,2025-08-29 19:31:00,True,G8
PAX1028,FL1350,2025-09-04 09:22:00,False,G9
PAX1029,FL1165,2025-08-31 12:52:00,True,G7
PAX1030,FL1453,2025-09-06 13:19:00,True,G15
PAX1031,FL1318,2025-09-03 17:01:00,False,G13
PAX1032,FL1198,2025-09-01 05:54:00,True,G12
PAX1033,FL1410,2025-09-05 15:39:00,False,G2
PAX1034,FL1311,2025-09-03 14:58:00,True,G12
PAX1035,FL1359,2025-09-04 16:00:00,True,G12
PAX1036,FL1469,2025-09-06 22:07:00,True,G18
PAX1037,FL1034,2025-08-28 19:04:00,False,G7
PAX1038,FL1354,2025-09-04 12:51:00,False,G7
PAX1039,FL1368,2025-09-04 19:08:00,True,G6
PAX1040,FL1145,2025-08-31 04:37:00,False,G3
PAX1041,FL1311,2025-09-03 13:43:00,True,G12
PAX1042,FL1304,2025-09-03 11:22:00,True,G17
PAX1043,FL1273,2025-09-02 20:37:00,False,G5
PAX1044,FL1160,2025-08-31 11:12:00,False,G4
PAX1045,FL1296,2025-09-03 07:01:00,False,G16
PAX1046,FL1426,2025-09-06 00:12:00,False,G16
PAX1047,FL1286,2025-09-03 01:12:00,True,G15
PAX1048,FL1046,2025-08-29 01:00:00,False,G4
PAX1049,FL1472,2025-09-06 23:54:00,True,G17
PAX1050,FL1262,2025-09-02 15:26:00,True,G14
PAX1051,FL1340,2025-09-04 05:44:00,True,G10
PAX1052,FL1113,2025-08-30 12:21:00,True,G17
PAX1053,FL1249,2025-09-02 07:19:00,True,G10
PAX1054,FL1429,2025-09-06 00:48:00,False,G15
PAX1055,FL1110,2025-08-30 09:11:00,False,G1
PAX1056,FL1185,2025-08-31 23:02:00,False,G20
PAX1057,FL1418,2025-09-05 19:54:00,False,G12
PAX1058,FL1199,2025-09-01 07:44:00,True,G10
PAX1059,FL1076,2025-08-29 16:27:00,True,G2
PAX1060,FL1106,2025-08-30 07:32:00,False,G18
PAX1061,FL1491,2025-09-07 08:21:00,False,G8
PAX1062,FL1082,2025-08-29 19:51:00,True,G19
PAX1063,FL1290,2025-09-03 03:41:00,True,G20
PAX1064,FL1447,2025-09-06 10:20:00,True,G15
PAX1065,FL1284,2025-09-03 00:37:00,False,G1
PAX1066,FL1259,2025-09-02 13:18:00,False,G20
PAX1067,FL1472,2025-09-06 23:24:00,False,G17
PAX1068,FL1155,2025-08-31 08:47:00,True,G7
