BagID,PassengerID,TrainID,CheckedIn,LoadedOnTrain
B3000,P2176,T1122,False,True
B3001,P2392,T1444,False,True
B3002,P2026,T1490,False,False
B3003,P2219,T1391,False,True
B3004,P2222,T1028,True,False
B3005,P2144,T1301,True,True
B3006,P2389,T1481,True,True
B3007,P2316,T1090,True,True
B3008,P2127,T1323,True,True
B3009,P2442,T1441,True,True
B3010,P2341,T1121,True,True
B3011,P2242,T1413,False,True
B3012,P2358,T1287,False,True
B3013,P2096,T1118,False,True
B3014,P2117,T1171,True,True
B3015,P2205,T1381,True,False
B3016,P2098,T1059,True,False
B3017,P2009,T1474,False,True
B3018,P2046,T1161,True,False
B3019,P2208,T1437,False,False
B3020,P2358,T1287,False,True
B3021,P2113,T1499,True,False
B3022,P2245,T1225,True,False
B3023,P2329,T1088,True,False
B3024,P2056,T1145,True,False
B3025,P2143,T1109,True,False
B3026,P2126,T1388,True,True
B3027,P2093,T1291,True,True
B3028,P2026,T1490,False,False
B3029,P2108,T1089,True,False
B3030,P2143,T1109,False,True
B3031,P2220,T1043,True,False
B3032,P2485,T1168,True,False
B3033,P2171,T1130,True,True
B3034,P2049,T1361,False,True
B3035,P2349,T1218,False,True
B3036,P2169,T1195,True,False
B3037,P2380,T1095,False,False
B3038,P2121,T1385,False,False
B3039,P2107,T1009,False,False
B3040,P2044,T1382,True,True
B3041,P2322,T1465,False,True
B3042,P2021,T1409,False,True
B3043,P2098,T1059,False,False
B3044,P2473,T1043,True,True
B3045,P2482,T1150,False,False
B3046,P2154,T1024,False,False
B3047,P2389,T1481,True,True
B3048,P2022,T1188,True,True
B3049,P2214,T1100,False,False
B3050,P2456,T1214,False,False
B3051,P2458,T1272,True,False
B3052,P2322,T1465,False,True
B3053,P2466,T1132,True,True
B3054,P2247,T1453,True,True
B3055,P2085,T1155,False,False
B3056,P2356,T1304,True,False
B3057,P2023,T1010,False,True
B3058,P2406,T1329,False,True
B3059,P2379,T1093,True,False
B3060,P2350,T1125,False,True
B3061,P2084,T1335,True,False
B3062,P2287,T1032,True,False
B3063,P2310,T1037,True,True
B3064,P2094,T1052,True,True
B3065,P2292,T1232,True,True
B3066,P2450,T1018,False,False
B3067,P2257,T1027,False,False
B3068,P2155,T1419,True,False
B3069,P2362,T1250,True,True
B3070,P2087,T1417,True,True
B3071,P2273,T1170,True,False
B3072,P2020,T1447,False,True
B3073,P2482,T1150,True,True
B3074,P2138,T1120,True,True
B3075,P2421,T1011,True,True
