PassengerID,TrainID,TicketIssued,BoardingPassIssued,SeatNumber
P2000,T1111,True,True,6B
P2001,T1496,True,False,14C
P2002,T1441,True,False,18C
P2003,T1358,True,False,18D
P2004,T1243,True,False,5C
P2005,T1243,True,False,1A
P2006,T1430,True,True,9D
P2007,T1158,True,True,18B
P2008,T1439,False,False,1D
P2009,T1474,True,False,3B
P2010,T1152,True,True,15C
P2011,T1450,False,True,9A
P2012,T1421,False,False,14C
P2013,T1367,False,True,6C
P2014,T1259,True,False,14C
P2015,T1232,True,True,6D
P2016,T1405,True,True,13B
P2017,T1321,True,False,19A
P2018,T1056,True,True,17B
P2019,T1433,False,False,15D
P2020,T1447,True,False,6C
P2021,T1409,True,True,3D
P2022,T1188,True,False,13B
P2023,T1010,True,True,3D
P2024,T1101,True,True,2D
P2025,T1316,False,False,5A
P2026,T1490,True,True,19A
P2027,T1007,False,False,16A
P2028,T1114,True,True,9C
P2029,T1382,False,False,5D
P2030,T1438,True,True,10B
P2031,T1214,True,False,5A
P2032,T1148,True,True,20D
P2033,T1464,True,False,19D
P2034,T1043,True,False,5C
P2035,T1498,False,True,13D
P2036,T1376,True,True,4A
P2037,T1026,True,True,16C
P2038,T1310,True,True,9D
P2039,T1154,False,False,5A
P2040,T1297,True,False,6D
P2041,T1476,True,False,5A
P2042,T1162,False,True,9A
P2043,T1160,True,True,16C
P2044,T1382,True,False,10C
P2045,T1313,True,False,14B
P2046,T1161,False,True,18D
P2047,T1027,True,True,2B
P2048,T1093,True,False,9B
P2049,T1361,False,False,4D
P2050,T1020,False,False,18D
P2051,T1234,False,True,5A
P2052,T1178,True,True,10B
P2053,T1427,True,False,19B
P2054,T1298,True,True,14A
P2055,T1126,False,True,11A
P2056,T1145,True,False,12A
P2057,T1428,True,True,1A
P2058,T1235,False,False,9A
P2059,T1168,True,False,11B
P2060,T1108,True,False,11A
P2061,T1380,True,False,3D
P2062,T1130,True,True,13A
P2063,T1010,True,True,13D
P2064,T1145,True,True,10D
P2065,T1410,False,False,20B
P2066,T1183,True,False,17B
P2067,T1250,False,False,16C
P2068,T1288,False,True,14C
P2069,T1314,True,False,14A
P2070,T1020,True,False,8B
P2071,T1476,False,True,10D
P2072,T1223,True,False,10B
P2073,T1065,True,True,17D
P2074,T1151,True,True,2A
P2075,T1261,False,False,4D
P2076,T1338,True,False,9A
P2077,T1393,True,True,15B
P2078,T1402,True,False,2A
P2079,T1213,True,False,19D
P2080,T1387,False,False,11B
P2081,T1108,True,True,20C
P2082,T1446,True,False,18A
P2083,T1002,False,True,1B
P2084,T1335,False,False,13D
P2085,T1155,True,False,10A
P2086,T1064,True,True,7A
P2087,T1417,True,True,1B
P2088,T1246,True,True,14B
P2089,T1044,True,False,5D
P2090,T1216,True,True,6B
P2091,T1378,False,False,16A
P2092,T1440,False,True,7C
P2093,T1291,False,True,11A
P2094,T1052,False,False,16C
P2095,T1018,False,False,16D
P2096,T1118,True,True,14C
P2097,T1283,True,False,14D
P2098,T1059,False,False,15D
P2099,T1010,True,False,7D
P2100,T1176,False,True,17B
P2101,T1300,True,False,5C
P2102,T1370,False,False,12D
P2103,T1409,True,True,10A
P2104,T1341,False,True,6B
P2105,T1080,False,True,14D
P2106,T1155,True,True,18A
P2107,T1009,True,False,12B
P2108,T1089,True,True,11D
P2109,T1058,True,True,18B
P2110,T1249,True,False,12A
P2111,T1394,True,True,17A
P2112,T1361,True,False,15A
P2113,T1499,True,True,18A
P2114,T1259,True,True,4B
P2115,T1466,True,True,10D
P2116,T1390,False,True,5C
P2117,T1171,True,True,7D
P2118,T1496,False,True,8D
P2119,T1174,True,True,3C
P2120,T1190,False,False,8B
P2121,T1385,False,True,5D
P2122,T1211,False,False,17C
P2123,T1483,True,False,5A
P2124,T1367,True,True,11C
P2125,T1205,True,False,2D
P2126,T1388,True,True,19A
P2127,T1323,True,False,13C
P2128,T1369,True,False,1C
P2129,T1460,True,False,15B
P2130,T1454,False,False,13B
P2131,T1451,True,True,2C
P2132,T1199,True,False,7A
P2133,T1261,True,False,6A
P2134,T1014,True,True,10D
P2135,T1258,True,True,12C
P2136,T1321,True,True,2A
P2137,T1229,True,True,15C
P2138,T1120,True,False,10C
P2139,T1341,True,False,17B
P2140,T1053,True,True,12D
P2141,T1050,True,False,14A
P2142,T1047,True,False,5D
P2143,T1109,False,True,12D
P2144,T1301,False,False,19D
P2145,T1325,False,False,16D
P2146,T1421,True,True,17B
P2147,T1248,False,True,17A
P2148,T1355,True,False,16A
P2149,T1382,True,False,4D
P2150,T1056,True,False,19C
P2151,T1020,True,True,12C
P2152,T1191,True,False,16A
P2153,T1405,True,True,19D
P2154,T1024,True,False,7B
P2155,T1419,False,True,4C
P2156,T1034,True,False,16C
P2157,T1289,False,False,13D
P2158,T1427,True,True,17D
P2159,T1389,False,False,5C
P2160,T1045,False,False,8D
P2161,T1173,True,False,9A
P2162,T1443,True,True,19C
P2163,T1287,True,True,7A
P2164,T1490,True,False,17A
P2165,T1061,True,True,9B
P2166,T1125,False,True,18C
P2167,T1205,True,False,1C
P2168,T1223,True,False,1C
P2169,T1195,True,True,4A
P2170,T1277,True,False,5B
P2171,T1130,True,True,10D
P2172,T1347,True,True,20C
P2173,T1092,True,True,10D
P2174,T1050,True,True,14C
P2175,T1132,False,True,2B
P2176,T1122,True,False,17D
P2177,T1486,True,False,2C
P2178,T1237,False,True,16A
P2179,T1208,True,True,9A
P2180,T1126,True,False,19D
P2181,T1228,True,True,5C
P2182,T1276,True,True,18D
P2183,T1492,False,True,1D
P2184,T1492,True,True,1A
P2185,T1477,False,False,20C
P2186,T1429,False,False,7C
P2187,T1023,True,True,10A
P2188,T1202,True,True,18C
P2189,T1449,False,True,20C
P2190,T1452,True,False,15C
P2191,T1125,True,False,7D
P2192,T1491,True,True,5A
P2193,T1311,False,True,1B
P2194,T1211,False,False,18A
P2195,T1403,True,True,15A
P2196,T1180,False,False,13B
P2197,T1429,True,True,15C
P2198,T1479,True,False,1B
P2199,T1380,True,False,12B
P2200,T1046,True,True,8D
P2201,T1495,True,True,9D
P2202,T1463,True,True,7D
P2203,T1056,True,False,6B
P2204,T1337,True,True,19B
P2205,T1381,True,True,9B
P2206,T1451,True,True,1C
P2207,T1348,False,True,14A
P2208,T1437,True,False,14C
P2209,T1062,False,False,12A
P2210,T1452,True,True,9D
