TrainID,Operator,Departure,Destination,ScheduledDeparture,ActualDeparture,DelayMinutes
T1000,Eurostar,Warsaw,Zurich,2025-09-08 01:59:34,2025-09-08 02:09:34,10
T1001,Eurostar,Oslo,Budapest,2025-09-07 21:20:34,2025-09-07 22:20:34,60
T1002,SBB,Oslo,Prague,2025-09-07 19:54:34,2025-09-07 20:04:34,10
T1003,Eurostar,Rome,Oslo,2025-09-07 21:02:34,2025-09-07 21:02:34,0
T1004,Renfe,Vienna,Warsaw,2025-09-07 23:05:34,2025-09-07 23:30:34,25
T1005,DB,Dublin,Munich,2025-09-07 16:22:34,2025-09-07 16:42:34,20
T1006,Renfe,Munich,Stockholm,2025-09-08 05:32:34,2025-09-08 05:57:34,25
T1007,Renfe,Brussels,Stockholm,2025-09-07 20:25:34,2025-09-07 20:55:34,30
T1008,SNCF,Prague,Warsaw,2025-09-07 17:57:34,2025-09-07 18:07:34,10
T1009,DB,Athens,Zurich,2025-09-08 03:04:34,2025-09-08 03:24:34,20
T1010,SNCF,Lisbon,Budapest,2025-09-08 03:47:34,2025-09-08 04:02:34,15
T1011,ÖBB,Amsterdam,Stockholm,2025-09-08 02:56:34,2025-09-08 03:06:34,10
T1012,Renfe,Stockholm,Amsterdam,2025-09-08 04:25:34,2025-09-08 05:25:34,60
T1013,Eurostar,Stockholm,Milan,2025-09-07 17:27:34,2025-09-07 18:38:34,71
T1014,DB,Warsaw,Rome,2025-09-08 00:58:34,2025-09-08 00:58:34,0
T1015,SBB,Munich,Stockholm,2025-09-08 03:30:34,2025-09-08 03:35:34,5
T1016,Trenitalia,Barcelona,Munich,2025-09-07 19:20:34,2025-09-07 20:20:34,60
T1017,DB,Prague,Paris,2025-09-07 20:12:34,2025-09-07 20:37:34,25
T1018,SNCF,Athens,Dublin,2025-09-08 00:16:34,2025-09-08 01:16:34,60
T1019,SBB,Milan,Prague,2025-09-07 18:43:34,2025-09-07 19:43:34,60
T1020,SBB,Copenhagen,Madrid,2025-09-07 19:41:34,2025-09-07 20:01:34,20
T1021,ÖBB,Amsterdam,Brussels,2025-09-08 00:06:34,2025-09-08 00:31:34,25
T1022,Thalys,Dublin,Athens,2025-09-07 20:05:34,2025-09-07 20:10:34,5
T1023,Trenitalia,Brussels,Barcelona,2025-09-07 17:04:34,2025-09-07 17:29:34,25
T1024,Renfe,Munich,Warsaw,2025-09-07 17:48:34,2025-09-07 18:33:34,45
T1025,SNCF,Athens,Oslo,2025-09-08 05:39:34,2025-09-08 06:09:34,30
T1026,Trenitalia,Brussels,Paris,2025-09-07 15:19:34,2025-09-07 15:34:34,15
T1027,Thalys,Madrid,Vienna,2025-09-07 16:01:34,2025-09-07 16:06:34,5
T1028,ÖBB,Madrid,Stockholm,2025-09-07 22:32:34,2025-09-07 22:32:34,0
T1029,SNCF,Oslo,Madrid,2025-09-07 14:57:34,2025-09-07 15:30:34,33
T1030,Trenitalia,Madrid,Warsaw,2025-09-07 18:27:34,2025-09-07 18:42:34,15
T1031,Eurostar,Copenhagen,Amsterdam,2025-09-07 15:25:34,2025-09-07 15:35:34,10
T1032,SBB,Berlin,Prague,2025-09-08 03:52:34,2025-09-08 04:17:34,25
T1033,SBB,Copenhagen,Lisbon,2025-09-08 05:08:34,2025-09-08 06:08:34,60
T1034,SBB,Amsterdam,Lisbon,2025-09-07 16:12:34,2025-09-07 17:27:34,75
T1035,Trenitalia,Athens,Budapest,2025-09-07 22:07:34,2025-09-07 23:07:34,60
T1036,SBB,Prague,Stockholm,2025-09-07 22:23:34,2025-09-07 22:28:34,5
T1037,Trenitalia,Milan,Prague,2025-09-07 20:13:34,2025-09-07 20:23:34,10
T1038,Renfe,Paris,Dublin,2025-09-07 22:06:34,2025-09-07 22:16:34,10
T1039,SBB,Milan,Stockholm,2025-09-07 22:18:34,2025-09-07 23:03:34,45
T1040,DB,Milan,Paris,2025-09-08 02:15:34,2025-09-08 02:35:34,20
T1041,ÖBB,Paris,Lisbon,2025-09-07 19:33:34,2025-09-07 20:03:34,30
T1042,ÖBB,Warsaw,Zurich,2025-09-07 15:58:34,2025-09-07 16:28:34,30
T1043,Trenitalia,Zurich,Munich,2025-09-07 14:32:34,2025-09-07 14:47:34,15
T1044,DB,Milan,Lisbon,2025-09-08 02:59:34,2025-09-08 03:29:34,30
T1045,SBB,Madrid,Brussels,2025-09-07 15:30:34,2025-09-07 15:35:34,5
T1046,SBB,Dublin,Copenhagen,2025-09-07 17:49:34,2025-09-07 19:18:34,89
T1047,Eurostar,Vienna,Barcelona,2025-09-07 13:30:34,2025-09-07 13:30:34,0
T1048,SBB,Brussels,Rome,2025-09-07 17:59:34,2025-09-07 18:09:34,10
T1049,SBB,Paris,Zurich,2025-09-07 14:43:34,2025-09-07 14:43:34,0
T1050,Renfe,Vienna,Barcelona,2025-09-07 20:21:34,2025-09-07 21:06:34,45
T1051,Eurostar,Copenhagen,Berlin,2025-09-07 18:49:34,2025-09-07 18:59:34,10
T1052,SNCF,Munich,Warsaw,2025-09-07 14:24:34,2025-09-07 15:09:34,45
T1053,Thalys,Vienna,Munich,2025-09-08 03:07:34,2025-09-08 03:07:34,0
T1054,Eurostar,Zurich,Warsaw,2025-09-08 02:20:34,2025-09-08 02:35:34,15
T1055,DB,Vienna,Copenhagen,2025-09-08 01:43:34,2025-09-08 01:48:34,5
T1056,SNCF,Stockholm,Warsaw,2025-09-08 00:48:34,2025-09-08 01:13:34,25
T1057,SBB,Berlin,Lisbon,2025-09-07 22:04:34,2025-09-07 22:24:34,20
T1058,DB,Milan,Vienna,2025-09-07 19:20:34,2025-09-07 19:20:34,0
T1059,Eurostar,Rome,Zurich,2025-09-07 23:59:34,2025-09-08 00:24:34,25
T1060,DB,Brussels,Munich,2025-09-07 23:09:34,2025-09-07 23:39:34,30
T1061,SNCF,Paris,Berlin,2025-09-07 23:06:34,2025-09-07 23:51:34,45
T1062,Thalys,Prague,Madrid,2025-09-07 17:25:34,2025-09-07 18:10:34,45
T1063,Eurostar,Dublin,Barcelona,2025-09-08 05:04:34,2025-09-08 05:04:34,0
T1064,SNCF,Prague,Amsterdam,2025-09-08 01:09:34,2025-09-08 01:14:34,5
T1065,SBB,Stockholm,Zurich,2025-09-07 18:35:34,2025-09-07 19:00:34,25
T1066,SNCF,Vienna,Paris,2025-09-08 00:56:34,2025-09-08 01:21:34,25
